ánnuitehtadoaba	1. annuitetsbegrep;  
billeahtta	1. billett;  
našunaliteahtta	1. nasjonalitet;  
našunálbušeahtta	1. nasjonalbudsjett;  
prejudikahtta	1. prejudikat;  
čáskadanapparahtta	1. brannslukningsapparat;  
prejudkáhtta	1. prejudkat;  
aetáhtta	1. aetat;  
hábitáhtta	1. habitat;  
algobuvtta	1. vare;  
priváhtiiva	1. privativ;  
nissonaperspektiiva	1. kvinneperspektiv;  
guhkesáiggiperspektiiva	1. langtidsperspektiv;  
bonjisskruvva	1. snekkeskrue;  
liidnakláva	1. lineklave;  
alléa	1. allé;  
bišáhke	1. stingsild;  
sviske	1. sviske;  
rele	1. rele;  
belle	1. blikk;  
ivdnádatsodjobiire	1. kulørtonekrets;  
genre	1. genre;  
glukose	1. druesukker;  
tratte	1. tratte;  
reaidahaddi	1. kontantpris;  
geassesajgieddi	1. seterløkke;  
njuorjjubuoidi	1. selspekk;  
mierkavuoidi	1. tåkesmører;  
bajimusmearridanváldi	1. overherredømme;  
oahpaheaddjebeavdi	1. kateter;  
aduserruovdi	1. aduserjern;  
alolastavuovdi	1. edelløvskog;  
gáneljuolcaggi	1. trestav;  
oktoráđđejupmeáigi	1. enevoldstid;  
eretorrunáigi	1. fravær;  
johtoáigi	1. omløpstid;  
giehtaváđgeađgi	1. jernstein;  
bijahussadji	1. sted hvor man har røsket opp reinlav;  
ovttagálvobuvttadeaddji	1. envareprodusent;  
ekonomioaivadeaddji	1. økonomikonsulent;  
sosiáloaivadeaddji	1. sosialkonsulent;  
kulturoaivadeaddji	1. kulturkonsulent;  
eanangáibideaddji	1. arealkrevende;  
iešvuosttaldeaddji	1. selvmotsigende;  
siviláittardeaddji	1. sivilombud;  
kultureaktudeaddji	1. kulturbetingede;  
čálačájeaheaddji	1. skriftprosjektor;  
kánttordoaimmaheaddji	1. kontorfullmektig;  
sosiáloahpaheaddji	1. sosiallærer;  
sosiáljođiheaddji	1. sosialleder;  
kánttorjođiheaddji	1. kontorleder;  
johtáleaddji	1. trafikant;  
ovdaságasteaddji	1. foredragsholder;  
sparrguoddinrádji	1. boggilastgrense;  
miehtterávdnji	1. medstrøm;  
máŋggaluottavuohki	1. flervegsmetode;  
maŋitgaskaáhki	1. senmiddelalder;  
kánttorveahkki	1. kontorassistent;  
njuorjjunáhkki	1. selskinn;  
bohkkaguiski	1. blåskjell;  
johttisámidilli	1. reinnomadisme;  
davraguolli	1. fersk fisk;  
gilvaguolli	1. settefisk;  
sosiálčálli	1. sosialsekretær;  
refleksalihkadeapmi	1. refleksbevegelse;  
gulloiskkadeapmi	1. hørselskontroll;  
sinkadeapmi	1. forsinking;  
seksuálgivssideapmi	1. seksualpress;  
vealggeheapmi	1. gjeldfri;  
ieš-orusteapmi	1. selvbetjent parkering;  
gahččanlápmašupmi	1. fallskade;  
iežaskapitálhápmi	1. egenkapitalform;  
romani	1. romani;  
ivdnádativdni	1. kulørte farge;  
cirgganjunni	1. spylespiss;  
boarásmuvvannáigemearri	1. foreldelsesfrist;  
vuolimusrádjomearri	1. minimum lagerkvantum;  
unnimusmearri	1. minimum;  
kárri	1. karri;  
taksi	1. taxi;  
impedimentoassi	1. impedimentandel;  
muovjamiessi	1. reinkalv i det første hårskiftet;  
geažotbealjmiessi	1. umerket reinkalv;  
návsti	1. naust;  
nylonnuohtti	1. nylonnot;  
kivi	1. kiwi;  
stánči	1. slam;  
bajimusbearráigeahčči	1. overoppsynsmann;  
tabernakel	1. tabernakel;  
orakel	1. orakel;  
spetakkel	1. spetakkel;  
sparkel	1. sparkel;  
vizzetjeagil	1. rabbeskjegg;  
