konstituenta	n	konstituent	m
finta	n	finte	f
minta	n	mint	m
labirinta	n	labyrint	m
sprinta	n	sprint	m
hyasinta	n	hyasint	m
bušeahttaproseassa	n	budsjettprosess	m
vuoigatvuođaproseassa	n	rettighetsprosess	m
buvttadanproseassa	n	renvaskelsesprosess	m
ovddidanproseassa	n	utviklingsprosess	m
suodjalanproseassa	n	beskyttelsesprosess	m
oktiiordnenproseassa	n	samordningsprosess	m
dáruiduhttinproseassa	n	fornorskingsprosess	m
nuppástuhttinproseassa	n	omstillingsprosess	m
terassa	n	terasse	m
stadioncrossa	n	stadioncross	m
motocrossa	n	motocross	m
skuhtercrossa	n	skutercross	m
mohtorcrossa	n	motorcross	m
artiumkursa	n	artiumkurs	n
kontrabássa	n	kontrabass	m
