  68 eaŋgalasgiella
  68 ealáhat
  68 duostil A* Der3 Der/vuohta
  68 addin
  67 váldobargu
  67 sámisearvi
  67 ruhtageavaheapmi
  67 mojunjálbmi
  67 lihkostuvvat V* IV Der3 Der/n
  67 kártadoaimmahat
  67 kulturdoalut
  67 govvačájáhus
  67 fax
  67 dálveriemut
  67 doalvu
  67 dispalávdegoddi
  67 70-lohku
  66 valáštallanlihttu
  66 suorggis
  66 ruhtasubmi
  66 riikarádji
  66 ovdanbuktin
  66 nissonbeaivi
  66 komponista
  66 guovludepartemeanta
  66 girkoverdde
  66 fylkkaráđđi
  66 dihtorlávdegoddi
  66 cuoŋumánnu
  66 boranávdi
  66 80-lohku
  65 váhku
  65 stuorradiggi
  65 skuvlagovva
  65 rukto
  65 luonddugáhttensearvi
  65 luohttevaš A* Der3 Der/vuohta
  65 gánda N* Der1 Der/Dimin
  65 guovlludepartemeanta
  65 gielddahoavda
  65 dramatihkka
  65 diesel
  65 buozalmasvuohta
  65 anárašgiella
  64 sámegielda
  64 stivrrajođiheaddji
  64 njuorjju
  64 movttiidahttit V* TV Der2 Actor
  64 mearridit V* TV Der2 Der/eapmi
  64 logo
  64 jaskat A* Der3 Der/vuohta
  64 govvadáiddár
  64 eaiggátvuohta
  63 vahkuloahppa
  63 suodjaleapmi
  63 olmmošgoddin
  63 mázelaš
  63 junior
  63 jeaggegeašáddjá
  63 hupmu
  63 gohcu
  63 fylkkalávdegoddi
  63 etáhtta
  63 eamiálbmotguovlu
  63 dutkanásahus
  63 anáraš
  63 1990-lohku
  62 ossodathoavda
  62 lektor
  62 juovlaruohttal
  62 girkočoahkkin
  62 dárkkistit V* TV Der2 Der/eapmi
  62 diibmobealli
  62 buollit V* IV Der2 Actor
  62 boazodilli
  61 álgoálbmotguovlu
  61 váikkuhanvejolašvuohta
  61 vahkoloahppa
  61 sámenisu
  61 sámegieloahppu
  61 ruovttušillju
  61 poastaboksa
  61 olgoriikkalaš
  61 luossareiveeaiggát
  61 logijahki
  61 kulturorganisašuvdna
  61 juhkan
  61 giđđajohtin
  61 geahčadit V* TV Der2 Der/eapmi
  61 finánsalávdegoddi
  61 dutkandepartemeanta
  61 doalloeaiggát
  61 bargobeaivi
  61 20-jahki
  60 čakčaorohat
  60 ávvudoallu
  60 vuovdečuohppat V* TV Der3 Der/n
  60 viiddidit V* TV Der2 Der/eapmi
  60 sádden
  60 reserváhtta
  60 prográmmajođiheaddji
  60 ođastus
  60 ovdánahttit V* TV Der2 Actor
  60 mielláhttu
  60 meašttirgilvu
  60 kultureallin
  60 fiellu G3
  60 dutkanbargu
  60 dráma
  60 beassášdoalut
  60 1980-lohku
  59 áŋgirvuohta
  59 váldovuoitu
  59 vuođđudit V* TV Der2 Der/eapmi
  59 ruvke
  59 ruoššabealle
  59 ovttaseallin
  59 kapasitehtta
  59 kandidáhtta
  59 guhkitáigi
  59 dáiddačeahppi
  59 dáiddaskuvla
  59 doaibmat V* IV Der3 Der/n
  59 dieđihit V* TV Der2 Der/eapmi
  59 davvisápmi
  59 davvisiida
  59 boazoálbmot
  59 badjedássi
  58 čállingiella
  58 vuođđokursa
