valástallan ___ n ___ 
uksaráigi ___ n ___ 
sámevuoigatvuohta ___ n ___ 
suohkanviessu ___ n ___ 
stivraláhttu ___ n ___ 
silbarávdi ___ n ___ 
sihkkarastin ___ n ___ 
scena ___ n ___ 
ráđđehusadvokáhtta ___ n ___ 
ránnjáriika ___ n ___ 
ruonaeanan ___ n ___ 
redaktevra ___ n ___ 
peršovdna ___ n ___ 
opmodatstivra ___ n ___ 
márjjábeaivi ___ n ___ 
máksomearri ___ n ___ 
luoddahuksen ___ n ___ 
lassiáigi ___ n ___ 
iehčanasvuohta ___ n ___ 
hálddašanvuohki ___ n ___ 
gávpeboazu ___ n ___ 
guolástansearvi ___ n ___ 
gonagasgárdin ___ n ___ 
girkostallan ___ n ___ 
etnomusihkkaguovddáš ___ n ___ 
eanangeavaheapmi ___ n ___ 
eallisilba ___ n ___ 
bessen ___ n ___ 
beahcevuovdi ___ n ___ 
badji ___ n ___ 
áirraslohku ___ n ___ 
ádelhearrá ___ n ___ 
vuostebellodat ___ n ___ 
teipa ___ n ___ 
sámeálbmotbellodat ___ n ___ 
siidarádji ___ n ___ 
sexa ___ n ___ 
roavvá ___ n ___ 
psykiatra ___ n ___ 
otnábeaivi ___ n ___ 
oljofoanda ___ n ___ 
oktasašvuohta ___ n ___ 
nulla ___ n ___ 
njunušolmmoš ___ n ___ 
máđiidja ___ n ___ 
molsašupmi ___ n ___ 
mearrariggodat ___ n ___ 
luossabivdosearvi ___ n ___ 
loddenlohpi ___ n ___ 
lieggariika ___ n ___ 
kommunista ___ n ___ 
hálddašanortnet ___ n ___ 
huksenplána ___ n ___ 
huksenbargu ___ n ___ 
goahteluoppal ___ n ___ 
girdingieddi ___ n ___ 
fylkkaplána ___ n ___ 
foanta ___ n ___ 
eastadeapmi ___ n ___ 
diakona ___ n ___ 
datalávdegoddi ___ n ___ 
boksa ___ n ___ 
boazodoallobearaš ___ n ___ 
birasvisti ___ n ___ 
beaivesuonjar ___ n ___ 
basta ___ n ___ 
badjemánáidbiire ___ n ___ 
amanuensa ___ n ___ 
čáhcádat ___ n ___ 
čuozahus ___ n ___ 
čuoigangilvu ___ n ___ 
áibmosuodjalus ___ n ___ 
váldoálbmot ___ n ___ 
vuordinlistu ___ n ___ 
sáttomeahcci ___ n ___ 
sámedikkepresideanta ___ n ___ 
sáhkkivuohta ___ n ___ 
sponsora ___ n ___ 
soagŋofárru ___ n ___ 
skuvlabusse ___ n ___ 
skearrofitnodat ___ n ___ 
salaris ___ n ___ 
oahpahusgiella ___ n ___ 
nuoraidráđđi ___ n ___ 
nissongávppašeapmi ___ n ___ 
našunálateáhter ___ n ___ 
namalassi ___ n ___ 
musihkkaskuvla ___ n ___ 
mediafoanda ___ n ___ 
mediafitnodat ___ n ___ 
maŋitáigi ___ n ___ 
luossadihkki ___ n ___ 
luondduvuođđu ___ n ___ 
lassiruhta ___ n ___ 
lagašvuohta ___ n ___ 
karriera ___ n ___ 
juoiganopera ___ n ___ 
joddu ___ n ___ 
hárjehallančiekčan ___ n ___ 
hálddašanmálle ___ n ___ 
heata ___ n ___ 
guolleriggodat ___ n ___ 
guhkesáigi ___ n ___ 
giellaguovlu ___ n ___ 
filbmaprošeakta ___ n ___ 
eamiálbmotbeaivi ___ n ___ 
dutkanboađus ___ n ___ 
duhtameahttunvuohta ___ n ___ 
dollár ___ n ___ 
dokumenta ___ n ___ 
doappar ___ n ___ 
designa ___ n ___ 
bálvalusfálaldat ___ n ___ 
báikeolmmoš ___ n ___ 
byrokratiija ___ n ___ 
bonusortnet ___ n ___ 
bohtal ___ n ___ 
boazodoallokántuvra ___ n ___ 
biilaeaiggát ___ n ___ 
bieggamillopárka ___ n ___ 
čievravieččahat ___ n ___ 
várreságadoalli ___ n ___ 
vákšunpolitiija ___ n ___ 
vuoigatvuođagažaldat ___ n ___ 
vuodna ___ n ___ 
sámemeašttirgilvu ___ n ___ 
stádaadvokáhtta ___ n ___ 
soahteveterána ___ n ___ 
skuvladilli ___ n ___ 
ritma ___ n ___ 
riikadássi ___ n ___ 
premiera ___ n ___ 
planehta ___ n ___ 
ommán ___ n ___ 
oanehisáigi ___ n ___ 
oaiveministtar ___ n ___ 
njuovvansadji ___ n ___ 
mánáidprográmma ___ n ___ 
mánnálaš ___ n ___ 
museum ___ n ___ 
mieleaktu ___ n ___ 
maŋŋilgaskabeaivi ___ n ___ 
maŋábealle ___ n ___ 
lávlungilvu ___ n ___ 
luossabreavaeaiggát ___ n ___ 
luohttámušdoaibma ___ n ___ 
lieggagráda ___ n ___ 
levgenbeaivi ___ n ___ 
kámmár ___ n ___ 
kulturprográmma ___ n ___ 
juoigangilvu ___ n ___ 
huksensadji ___ n ___ 
guhtal ___ n ___ 
giellačeahppi ___ n ___ 
gieddegašgálgu ___ n ___ 
geavat ___ n ___ 
geassesiida ___ n ___ 
gealboguovddáš ___ n ___ 
geafesriika ___ n ___ 
ekspeartajoavku ___ n ___ 
eisseváldi ___ n ___ 
ealáskahttin ___ n ___ 
dábáláš ___ n ___ 
doaibmabidjoguovlu ___ n ___ 
divššár ___ n ___ 
bálkáceahkki ___ n ___ 
buresbirgejupmi ___ n ___ 
buollinhoavda ___ n ___ 
boazomearri ___ n ___ 
boazojápmu ___ n ___ 
beaivečuovga ___ n ___ 
bahákas ___ n ___ 
ambassáda ___ n ___ 
750-klássa ___ n ___ 
čázadat ___ n ___ 
čoavdin ___ n ___ 
čeavllis ___ n ___ 
válgaguovlu ___ n ___ 
vuostebiegga ___ n ___ 
veasku ___ n ___ 
sátnelistu ___ n ___ 
sámidiggi ___ n ___ 
sámeniibi ___ n ___ 
sámelogahat ___ n ___ 
suodjalusministtar ___ n ___ 
sohkagirji ___ n ___ 
skuvlasadji ___ n ___ 
rihpaduvdni ___ n ___ 
rehkenastin ___ n ___ 
pola ___ n ___ 
