Engelasgiella	Suomagillii guhkes ja oanehaš (gáldu: Kotus)	Ruoŧagillii (utrikes namnbok, regeringen.se)	Dárogillii (bokmål). gáldu: Språkrådet)	Sámi GG mearkkašumit	Ávžžuhuvvon (dohkkehuvvon)		Sojaheapmi (Gen sing, ill sing)	Lassimearrádus	Čilgehus
Kazakhstan	Kazakstan; Kazakstanin tasavalta	Kazakstan; Republiken Kazakstan	Kasakhstan; Republikken Kasakhstan		Kazakstan	Kazakstan dásseváldi	Kazakstan, Kazakstanii		Z ovdasta sámegielas eará jiena, danne s.
Kenya	Kenia; Kenian tasavalta	Kenya; Republiken Kenya	Kenya; Republikken Kenya	Kenya	Kenia	Kenia dásseváldi	Kenia, Keniai		Dárogielas ja ruotagielas lea y bustqva jiena mii lea lahka  , muhto suomagielas y bustáva ii sulastahte i jiena.
Kiribati	Kiribati; Kiribatin tasavalta	Kiribati; Republiken Kiribati	Kiribati; Republikken Kiribati 	?	Kiribati	Kiribati dásseváldi	Kribati, Kiribatii		Geahča beavdegirjji prinsihppamearrádusa i-loahppasaš rikkaid namat
Kuwait	Kuwait; Kuwaitin valtio	Kuwait; Staten Kuwait;	Kuwait; Staten Kuwait		Kuwait	Kuwait stáhta	Kuwait, Kuwaitii		
Kyrgyzstan	Kirgisia; Kirgisian tasavalta	Kirgizistan; Republiken Kirgizistan	Kirgisistan; Republikken Kirgisistan	Suoma namma speahkasta oaláš geavaheamis	Kirgisistan	Kirgisistan dásseváldi	Kirgisistan, Kirgisistanii		
Lao People's Democratic Republic	Laos; Laosin demokraattinen kansantasavalta	Laos; Demokratiska folkrepubliken Laos	Laos; Den demokratiske folkerepublikk Laos		Laos	Laos dásseváldi	Laos, Laosii		
Latvia	Latvia; Latvian tasavalta	Lettland; Republiken Lettland	Latvia; Republikken Latvia		Latvia	Latvia dásseváldi	Latvia, Latviai		
Lebanon	Libanon; Libanonin tasavalta	Libanon; Republiken Libanon	Libanon; Republikken Libanon		Libanon	Libanon dásseváldi	Libanon, Libanonii		
Lesotho	Lesotho; Lesothon kuningaskunta	Lesotho; Konungariket Lesotho	Lesotho; Kongeriket Lesotho		Lesotho	Lesotho gonagasriika	Lesotho, Lesothoi		Geahča beavdegirjji prinsihppamearrádusa
Liberia	Liberia; Liberian tasavalta	Liberia; Republiken Liberia	Liberia; Republikken Liberia		Liberia	 Liberia dásseváldi	Liberia, Liberai		
Libya	Libya	Libyen	Libya	Norsk språkråd: Den store sosialistiske arabiske folkerepublikk Libya	Libya 	Libya stáhta	Libya, Libyai		
